attack,epsilon,trial,acc_before,acc_after,ber,n_errors,n_bits,loss,time_s
fgsm,0.3000,3,1.000000,0.540000,0.0000000000e+00,0,8496,0.994876,0.04
fgsm,0.3000,4,1.000000,0.650000,0.0000000000e+00,0,8496,0.999930,0.04
fgsm,0.5000,0,1.000000,0.110000,0.0000000000e+00,0,8496,0.999874,0.04
fgsm,0.5000,1,1.000000,0.120000,0.0000000000e+00,0,8496,0.994422,0.04
fgsm,0.5000,2,1.000000,0.070000,0.0000000000e+00,0,8496,0.999619,0.04
fgsm,0.5000,3,1.000000,0.060000,0.0000000000e+00,0,8496,0.998376,0.04
fgsm,0.5000,4,1.000000,0.120000,0.0000000000e+00,0,8496,0.999762,0.04
pgd,0.0000,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.998816,4.35
pgd,0.0000,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.999455,4.40
pgd,0.0000,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999783,4.26
pgd,0.0000,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.998632,4.20
pgd,0.0000,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999493,4.17
pgd,0.0100,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.994952,4.22
pgd,0.0100,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.995741,4.21
pgd,0.0100,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999894,4.17
pgd,0.0100,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.999624,4.18
pgd,0.0100,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999933,4.18
pgd,0.0500,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.999987,4.24
pgd,0.0500,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.999705,4.20
pgd,0.0500,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999933,4.26
pgd,0.0500,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.999927,4.20
pgd,0.0500,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999652,4.40
pgd,0.1000,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.999982,4.68
pgd,0.1000,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.999995,4.26
pgd,0.1000,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999994,4.29
pgd,0.1000,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.999985,4.28
pgd,0.1000,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999994,4.46
pgd,0.1500,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.999984,4.75
pgd,0.1500,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.999991,4.74
pgd,0.1500,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999994,4.72
pgd,0.1500,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.999997,4.72
pgd,0.1500,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999999,4.76
pgd,0.2000,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.999863,4.73
pgd,0.2000,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.999999,4.30
pgd,0.2000,2,1.000000,1.000000,0.0000000000e+00,0,8496,1.000000,4.21
pgd,0.2000,3,1.000000,1.000000,0.0000000000e+00,0,8496,1.000000,4.27
pgd,0.2000,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999999,4.71
pgd,0.3000,0,1.000000,1.000000,0.0000000000e+00,0,8496,1.000000,4.76
pgd,0.3000,1,1.000000,1.000000,0.0000000000e+00,0,8496,1.000000,4.75
pgd,0.3000,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999978,4.75
pgd,0.3000,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.999978,4.77
pgd,0.3000,4,1.000000,1.000000,0.0000000000e+00,0,8496,0.999996,4.75
pgd,0.5000,0,1.000000,1.000000,0.0000000000e+00,0,8496,0.999996,4.75
pgd,0.5000,1,1.000000,1.000000,0.0000000000e+00,0,8496,0.999947,4.63
pgd,0.5000,2,1.000000,1.000000,0.0000000000e+00,0,8496,0.999880,4.19
pgd,0.5000,3,1.000000,1.000000,0.0000000000e+00,0,8496,0.999616,4.38
